Plant_number,Plant_size_,No_burrs,No_seeds
1,63,62,34
1,63,62,32
1,63,62,26
1,63,62,28
1,63,62,22
1,63,62,18
1,63,62,16
1,63,62,18
1,63,62,28
1,63,62,29
1,63,62,31
1,63,62,8
1,63,62,39
1,63,62,29
1,63,62,26
1,63,62,20
1,63,62,25
1,63,62,23
1,63,62,23
1,63,62,2
1,63,62,10
1,63,62,6
1,63,62,27
1,63,62,25
1,63,62,22
1,63,62,6
1,63,62,10
1,63,62,16
1,63,62,16
1,63,62,5
1,63,62,13
1,63,62,0
1,63,62,19
1,63,62,3
1,63,62,11
1,63,62,3
1,63,62,57
1,63,62,0
1,63,62,17
1,63,62,17
1,63,62,19
1,63,62,10
1,63,62,48
2,25,48,23
2,25,48,20
2,25,48,23
2,25,48,36
2,25,48,28
2,25,48,15
2,25,48,22
2,25,48,33
2,25,48,32
2,25,48,33
2,25,48,26
2,25,48,28
2,25,48,29
3,20,17,49
3,20,17,43
3,20,17,30
3,20,17,14
3,20,17,29
3,20,17,40
3,20,17,25
3,20,17,36
3,20,17,36
3,20,17,24
3,20,17,31
3,20,17,41
3,20,17,33
3,20,17,27
3,20,17,19
3,20,17,24
3,20,17,34
4,22,32,12
4,22,32,18
4,22,32,0
4,22,32,14
4,22,32,20
4,22,32,31
4,22,32,1
4,22,32,0
4,22,32,8
4,22,32,13
4,22,32,7
4,22,32,12
4,22,32,2
4,22,32,17
4,22,32,14
4,22,32,13
4,22,32,10
4,22,32,21
4,22,32,0
4,22,32,0
4,22,32,11
4,22,32,10
4,22,32,15
4,22,32,12
4,22,32,18
4,22,32,11
4,22,32,3
4,22,32,18
4,22,32,12
4,22,32,20
4,22,32,10
4,22,32,11
5,46,94,19
5,46,94,23
5,46,94,22
5,46,94,25
5,46,94,25
5,46,94,27
5,46,94,24
5,46,94,19
5,46,94,15
5,46,94,11
5,46,94,23
5,46,94,25
5,46,94,20
5,46,94,19
5,46,94,14
5,46,94,15
5,46,94,24
5,46,94,11
5,46,94,11
5,46,94,17
5,46,94,17
5,46,94,15
5,46,94,15
5,46,94,24
5,46,94,13
5,46,94,12
5,46,94,17
5,46,94,6
6,44,74,12
6,44,74,28
6,44,74,27
6,44,74,18
6,44,74,20
6,44,74,19
6,44,74,19
6,44,74,18
6,44,74,26
6,44,74,32
6,44,74,31
6,44,74,35
6,44,74,33
6,44,74,26
6,44,74,23
6,44,74,5
6,44,74,17
6,44,74,27
6,44,74,31
6,44,74,27
6,44,74,26
7,29,39,29
7,29,39,23
7,29,39,25
7,29,39,26
7,29,39,16
7,29,39,15
7,29,39,21
7,29,39,11
7,29,39,17
7,29,39,25
7,29,39,22
7,29,39,27
7,29,39,15
7,29,39,16
7,29,39,20
7,29,39,6
7,29,39,13
7,29,39,8
7,29,39,13
7,29,39,6
7,29,39,26
7,29,39,5
7,29,39,9
7,29,39,7
7,29,39,4
7,29,39,3
7,29,39,17
7,29,39,5
8,20,53,27
8,20,53,19
8,20,53,25
8,20,53,36
8,20,53,35
8,20,53,31
8,20,53,35
8,20,53,17
8,20,53,33
8,20,53,32
8,20,53,30
8,20,53,17
8,20,53,29
8,20,53,28
8,20,53,29
8,20,53,30
8,20,53,27
8,20,53,2
8,20,53,28
8,20,53,31
