horn_length,survival
21.4,Died
23.9,Died
23.2,Died
22.6,Died
22.5,Died
19.3,Died
23.5,Died
23.4,Died
19,Died
21.7,Died
20.2,Died
26.7,Died
21.7,Died
21,Died
23.9,Died
24.6,Died
21.6,Died
25.3,Died
25,Died
25.2,Died
15.2,Died
22.9,Died
21.4,Died
23.9,Died
17.2,Died
15.5,Died
22,Died
22,Died
23.1,Died
20.7,Died
25.2,Lived
26.9,Lived
26.6,Lived
25.6,Lived
25.7,Lived
25.9,Lived
27.3,Lived
25.1,Lived
30.3,Lived
25.6,Lived
26,Lived
24.6,Lived
25.6,Lived
25.3,Lived
23.5,Lived
24.5,Lived
23.3,Lived
26,Lived
23.9,Lived
27.3,Lived
25.4,Lived
25.5,Lived
21.4,Lived
23.8,Lived
25.5,Lived
19.2,Lived
20.7,Lived
19.2,Lived
25.5,Lived
20.5,Lived
20.6,Lived
24.9,Lived
23.7,Lived
23.4,Lived
25.6,Lived
26.6,Lived
27.7,Lived
25.7,Lived
27,Lived
26.5,Lived
25,Lived
19.7,Lived
27.1,Lived
23,Lived
22.7,Lived
25.8,Lived
28.8,Lived
23.5,Lived
23.2,Lived
25.3,Lived
23.8,Lived
25.1,Lived
26.7,Lived
27.1,Lived
22.5,Lived
25.5,Lived
24.4,Lived
25.6,Lived
20.6,Lived
25.5,Lived
24.5,Lived
23,Lived
27.6,Lived
27.3,Lived
20.7,Lived
26,Lived
25.1,Lived
19.9,Lived
23.5,Lived
24.8,Lived
22.4,Lived
24.7,Lived
27.5,Lived
21.5,Lived
24,Lived
22.4,Lived
21.3,Lived
25,Lived
24.3,Lived
24.5,Lived
23.6,Lived
21.1,Lived
25.6,Lived
26.1,Lived
23.7,Lived
24.2,Lived
23.2,Lived
26.5,Lived
28.1,Lived
24.1,Lived
29.5,Lived
24,Lived
26.8,Lived
25.8,Lived
23.3,Lived
22.4,Lived
24.2,Lived
26.1,Lived
23.2,Lived
21.7,Lived
24.7,Lived
21.4,Lived
18.5,Lived
23.2,Lived
21.5,Lived
29.1,Lived
21.7,Lived
23.5,Lived
23,Lived
20,Lived
21.9,Lived
27.4,Lived
27.1,Lived
23.1,Lived
23.8,Lived
26.5,Lived
27,Lived
26.4,Lived
26.3,Lived
20.6,Lived
24.5,Lived
22.8,Lived
25.5,Lived
25.3,Lived
28,Lived
20.8,Lived
25.9,Lived
24,Lived
22.5,Lived
26.3,Lived
23.3,Lived
24.5,Lived
21.6,Lived
23.6,Lived
23,Lived
22.4,Lived
27.4,Lived
25,Lived
23.9,Lived
28.2,Lived
27.2,Lived
13.1,Lived
22.9,Lived
26.6,Lived
25.8,Lived
26.3,Lived
20.9,Lived
25.6,Lived
24.8,Lived
19.2,Lived
27.4,Lived
24.2,Lived
15.7,Lived
17.7,Lived
